masked,original
쉴드 아니라 국가가해준거야.,쉴드가 아니라 국가가 면제해준거야.
짐승 들어ㅋㅋ,짐승입장도 들어봐야지ㅋㅋ
깐라고기까지,깐부라고 부르기까지 하다니
어머니 간 해 주기 싫어서 도망쳤다고...?,어머니 간 이식 해 주기 싫어서 도망쳤다고...?
##한 기념 내가 사 줄게,고생한 기념으로 내가 저녁 사 줄게
[UNK] 같은 [UNK] 가,[UNK]라고 다 같은 [UNK]가 아니야
요새는 온갖 방법으로 다 들어와서 수준이 천차만별,요새는 온갖 방법으로 다 들어와서 수준이 천차만별이래
##에을 못한 거 아냐?,아직 대학에 적응을 못한 거 아냐?
[UNK] 이,[UNK]이 당선 될듯
##도 [UNK] 이.,여론조사도 [UNK]이 높더라.
6070 [UNK] 이,6070은 [UNK]이 더 높아
##하냐 백세 ㅋㅋㅋ,뭐라하냐 백세시대에 ㅋㅋㅋ
##이 있어서 그런 걸로 좀 휘잡는 편이야 쟤는.,말빨이 있어서 그런 걸로 좀 휘어잡는 편이야 쟤는.
쟤 진짜만 번지르르한데 다들 모르네.. 참.,쟤 진짜 겉만 번지르르한데 다들 모르네.. 참..
##하고 한 게 아니잖아...,내가 실패하고 싶어서 한 게 아니잖아...
저 아줌마 며느리가 아니고 아들이 생일 차렸다고 열받아서 쓰러졌대,저 아줌마 며느리가 아니고 아들이 생일상 차렸다고 열받아서 쓰러졌대
급식인데 급식소에서 장애 학생줬는데 아무도줌,급식인데 급식소에서 장애 학생 도와줬는데 아무도 몰라줌
쉴드 아니라 국가가해준거야.,쉴드가 아니라 국가가 면제해준거야.
짐승 들어ㅋㅋ,짐승입장도 들어봐야지ㅋㅋ
깐라고기까지,깐부라고 부르기까지 하다니
어머니 간 해 주기 싫어서 도망쳤다고...?,어머니 간 이식 해 주기 싫어서 도망쳤다고...?
##한 기념 내가 사 줄게,고생한 기념으로 내가 저녁 사 줄게
[UNK] 같은 [UNK] 가,[UNK]라고 다 같은 [UNK]가 아니야
요새는 온갖 방법으로 다 들어와서 수준이 천차만별,요새는 온갖 방법으로 다 들어와서 수준이 천차만별이래
##에을 못한 거 아냐?,아직 대학에 적응을 못한 거 아냐?
[UNK] 이,[UNK]이 당선 될듯
##도 [UNK] 이.,여론조사도 [UNK]이 높더라.
6070 [UNK] 이,6070은 [UNK]이 더 높아
##하냐 백세 ㅋㅋㅋ,뭐라하냐 백세시대에 ㅋㅋㅋ
##이 있어서 그런 걸로 좀 휘잡는 편이야 쟤는.,말빨이 있어서 그런 걸로 좀 휘어잡는 편이야 쟤는.
쟤 진짜만 번지르르한데 다들 모르네.. 참.,쟤 진짜 겉만 번지르르한데 다들 모르네.. 참..
##하고 한 게 아니잖아...,내가 실패하고 싶어서 한 게 아니잖아...
저 아줌마 며느리가 아니고 아들이 생일 차렸다고 열받아서 쓰러졌대,저 아줌마 며느리가 아니고 아들이 생일상 차렸다고 열받아서 쓰러졌대
급식인데 급식소에서 장애 학생줬는데 아무도줌,급식인데 급식소에서 장애 학생 도와줬는데 아무도 몰라줌
,아무리 그래도 그렇지
하루종일 트로트만 편성하고 지겨워겠어,하루종일 트로트만 편성하고 지겨워 죽겠어
언행은 논란 있으니까 쳐도 생긴 건 왜?,언행은 논란 있으니까 그렇다 쳐도 생긴 건 왜?
나는 백팔십 이하인 못 만나겠,나는 백팔십 이하인 남자는 못 만나겠더라
아직까지 티켓파 상위인데 ㅋㅋㅋ 그만 나올 때라니,아직까지 티켓파워 상위권인데 ㅋㅋㅋ 그만 나올 때라니
그 사람도 사연 있어서한것 뿐이지 너무 좋은 사람이야,그 사람도 사연이 있어서 이혼한것 뿐이지 너무 좋은 사람이야
야 카페 줄노 뭔 행사함?,야 카페 줄 뭐노 오늘 뭔 행사함?
주황색 머리기 힘들어 다른 사람들도,주황색 머리 잘 어울리기 힘들어 다른 사람들도
저것도 조선시대처럼 탈레반 존중해야 문화지,저것도 조선시대처럼 탈레반의 존중해야 할 문화지
,남자들이 왜?
중국인들 보면는 것,중국인들 말하는거 보면 화내는 것 같음
##려면 그 정도는 해야지,방송 이미지 잡을려면 그 정도는 해야지
어우 허벅지 봤,어우 저여자 허벅지 봤어?
허벅지보다 더거?,내 허벅지보다 더 두꺼운거 같은데?
그래도다리를 타조다리라고 그러는건 좀 아니다,아무리 그래도 여자다리를 타조다리라고 그러는건 좀 아니다
##는 요즘 하고 산대?,걔는 요즘 뭐 하고 산대?
##면 입을 있는 거 아냐,편하면 입을 수도 있는 거 아냐?
눈치 없다고 까,나 회사에서 눈치 없다고 까였어
너 줄ㅋ,너 그럴 줄 알았다 ㅋㅋㅋ
